data,nr_iesire,den_tip,denumire,den_gest,cantitate,pret,valoare,tert,cod_fiscal,tva_art,tva
2026-01-08,7802,Servicii vandute,INSPECTIE TEHNICA,MARFA 2,1,123.97,123.97,SC VALEX  INTERNATIONAL EXIM  SRL,RO7487265,21,26.03
2026-01-08,7803,Servicii vandute,INSPECTIE TEHNICA,MARFA 2,1,148.76,148.76,SC ND PHARMA SRL,RO22082443,21,31.24
2026-01-08,3169,Servicii vandute,INSPECTIE TEHNICA,MARFA 2,1,99.17,99.17,CLIENT  I.T.P.,,21,20.83
2026-01-08,3170,MARFA 2,"OX 361/4D FILTRU DE ULEI #""",MARFA 2,1,37.19,37.19,CLIENT MARFA,,21,7.81
2026-01-08,3170,MARFA 2,CG530L/5 ULEI 5W30 ULEI CASTROL 5L<,MARFA 2,1,202.48,202.48,CLIENT MARFA,,21,42.52
2026-01-08,3170,MARFA 2,"F981-170 CIMENT TOBA,70G",MARFA 2,1,12.4,12.4,CLIENT MARFA,,21,2.6
2026-01-08,3170,MARFA 2,O0260DREIS FILTRU DE ULEI .,MARFA 2,1,9.09,9.09,CLIENT MARFA,,21,1.91
2026-01-08,3170,MARFA 2,"695.710 GARNITURA POMPA VACUM ,#",MARFA 2,1,22.31,22.31,CLIENT MARFA,,21,4.69
2026-01-08,3170,MARFA 2,32456F INEL ETANSARE SURUB DRENA ULEI *#,MARFA 2,1,1.65,1.65,CLIENT MARFA,,21,0.35
2026-01-08,3170,MARFA 2,"533 0114 10 ROLA INTINZATOARE CUREA DISTRIBUTIE ,",MARFA 2,1,51.24,51.24,CLIENT MARFA,,21,10.76
2026-01-08,3170,MARFA 2,10A0915CDY CUREA TRANSMISIE,MARFA 2,1,15.7,15.7,CLIENT MARFA,,21,3.3
2026-01-08,3170,MARFA 2,"F026400342 FILTRU DE AER ,""",MARFA 2,1,45.45,45.45,CLIENT MARFA,,21,9.55
2026-01-08,3170,MARFA 2,"CU 19 014 FILTRU DE AER ,CABINA""",MARFA 2,1,38.02,38.02,CLIENT MARFA,,21,7.98
2026-01-08,3170,MARFA 2,"AD 10012369 ANTIGEL G11 1,5 L",MARFA 2,2,15.7,31.4,CLIENT MARFA,,21,6.6
2026-01-08,3170,MARFA 2,"EP5W40SXR /4 ULEI MOTOR 4L,$",MARFA 2,1,122.31,122.31,CLIENT MARFA,,21,25.69
2026-01-08,3170,Servicii vandute,MANOPERA,MARFA 2,1,16.53,16.53,CLIENT MARFA,,21,3.47
2026-01-08,7804,Servicii vandute,INSPECTIE TEHNICA,MARFA 2,11,15.0264,165.29,SC SIDAVAUTO-SERV SRL,RO36522269,21,34.71
2026-01-08,3171,Servicii vandute,INSPECTIE TEHNICA,MARFA 2,1,99.17,99.17,CLIENT  I.T.P.,,21,20.83
2026-01-08,3172,MARFA 2,259.900 CONECTOR TEAVA SIST.DE ESAP.^,MARFA 2,1,36.36,36.36,CLIENT MARFA,,21,7.64
2026-01-08,3172,MARFA 2,"8030003 SURUB GOLIRE BAIA DE ULEI ,",MARFA 2,1,4.96,4.96,CLIENT MARFA,,21,1.04
2026-01-08,3172,MARFA 2,CG530//4 ULEI MOTOR 5W30 4L CASTROL }^^,MARFA 2,1,165.29,165.29,CLIENT MARFA,,21,34.71
2026-01-08,3172,MARFA 2,W 712 /95 FILTRU DE ULEI),MARFA 2,1,25.62,25.62,CLIENT MARFA,,21,5.38
2026-01-08,3172,MARFA 2,"JTS483 ,BIELETA ANTIRULIU  TRW",MARFA 2,2,46.28,92.56,CLIENT MARFA,,21,19.44
2026-01-08,3172,MARFA 2,34711 01 TUFA BRATULUI CONTROL#,MARFA 2,2,70.25,140.5,CLIENT MARFA,,21,29.5
2026-01-08,3172,MARFA 2,26495F POMPA DE APA SPALARE FARURI#,MARFA 2,1,40.5,40.5,CLIENT MARFA,,21,8.5
2026-01-08,3172,MARFA 2,KX 228D FILTRU COMBUSTIBIL -MAHLE#,MARFA 2,1,56.2,56.2,CLIENT MARFA,,21,11.8
2026-01-08,3172,MARFA 2,E1023L FILTRU DE AERR$,MARFA 2,1,37.19,37.19,CLIENT MARFA,,21,7.81
2026-01-08,3172,MARFA 2,534013230 INTINZATOR CUREA TRANSMISIE:,MARFA 2,1,90.91,90.91,CLIENT MARFA,,21,19.09
2026-01-08,3172,MARFA 2,139925C RELEU ALTERNATOR CARGO,MARFA 2,1,59.5,59.5,CLIENT MARFA,,21,12.5
2026-01-08,3172,MARFA 2," 29 150 FILTRU DE AER,",MARFA 2,1,61.16,61.16,CLIENT MARFA,,21,12.84
2026-01-08,3172,Servicii vandute,MANOPERA,MARFA 2,1,16.53,16.53,CLIENT MARFA,,21,3.47
2026-01-08,3173,Servicii vandute,INSPECTIE TEHNICA,MARFA 2,1,99.17,99.17,CLIENT  I.T.P.,,21,20.83
2026-01-08,3174,Servicii vandute,INSPECTIE TEHNICA,MARFA 2,1,99.17,99.17,CLIENT  I.T.P.,,21,20.83
2026-01-09,7805,MARFA 2,2618801TX SET PLACUTE FRANA TEXTAR,MARFA 2,1,157.02,157.02,SC VALEX  INTERNATIONAL EXIM  SRL,RO7487265,21,32.98
2026-01-09,7805,MARFA 2,43301 01 CAP DE BARA LEMFOERDER,MARFA 2,1,165.29,165.29,SC VALEX  INTERNATIONAL EXIM  SRL,RO7487265,21,34.71
2026-01-09,7805,MARFA 2,43300 01 CAP DE BARA LEMFOERDER,MARFA 2,1,165.29,165.29,SC VALEX  INTERNATIONAL EXIM  SRL,RO7487265,21,34.71
2026-01-09,7805,Servicii vandute,MANOPERA CONFORM DEVIZ,MARFA 2,1,650.0,650.0,SC VALEX  INTERNATIONAL EXIM  SRL,RO7487265,21,136.5
2026-01-09,7806,MARFA 2,HU 700 Z FILTRU ULEI -MANN_,MARFA 2,1,34.71,34.71,CYBERBREEZE S.R.L.,RO48189312,21,7.29
2026-01-09,7806,MARFA 2,"KX 386 ,FILTRU COMBUSTIBIL,)",MARFA 2,1,99.17,99.17,CYBERBREEZE S.R.L.,RO48189312,21,20.83
2026-01-09,7806,MARFA 2,F026400287 FILTRU AER -BOSCH+,MARFA 2,1,47.11,47.11,CYBERBREEZE S.R.L.,RO48189312,21,9.89
2026-01-09,7806,MARFA 2,"E2998LC FILTRU ,DE POLEN ""*",MARFA 2,1,47.11,47.11,CYBERBREEZE S.R.L.,RO48189312,21,9.89
2026-01-09,7806,MARFA 2,CG530/5 ULEI MOTOR 5W30 5L CASTROL>,MARFA 2,1,268.6,268.6,CYBERBREEZE S.R.L.,RO48189312,21,56.4
2026-01-09,7806,MARFA 2,"12281F  SURUB DE GOLIRE ,BAIA DE ULEI *^",MARFA 2,1,4.96,4.96,CYBERBREEZE S.R.L.,RO48189312,21,1.04
2026-01-09,7806,Servicii vandute,MANOPERA CONFORM DEVIZ,MARFA 2,1,150.0,150.0,CYBERBREEZE S.R.L.,RO48189312,21,31.5
2026-01-09,7806,Servicii vandute,INSPECTIE TEHNICA,MARFA 2,1,148.76,148.76,CYBERBREEZE S.R.L.,RO48189312,21,31.24
2026-01-09,3175,Servicii vandute,INSPECTIE TEHNICA,MARFA 2,1,99.17,99.17,CLIENT  I.T.P.,,21,20.83
