Nr_Crt,Denumire,Nr_Doc_Z,Data,Explicatii,Total_Valoare,Scutit_Cu_Drept_Reducere,Scutit_Fara_Drept_Reducere,Taxabile_21_Baza_Impozitare,Taxabile_21_Val_TVA,Taxabile_11_Baza_Impozitare,Taxabile_11_Val_TVA,Nefolosit_1_Baza_Impozitare,Nefolosit_1_Val_TVA,Nefolosit_2_Baza_Impozitare,Nefolosit_2_Val_TVA,Netaxabil_Baza_Impozitare,Netaxabil_Val_TVA,Final_Rate
1.0,Z POS,275,2025-11-01,Z emis la POS nr.1 inchiderea 272,5575.2,0,0,38.84,8.16,4980.36,547.84,0,0,0,0,0.0,0,0
2.0,Z POS,276,2025-11-02,Z emis la POS nr.1 inchiderea 273,3366.78,0,0,4.13,0.87,3028.63,333.15,0,0,0,0,0.0,0,0
3.0,Z POS,277,2025-11-03,Z emis la POS nr.1 inchiderea 274,4915.29,0,0,7.64,1.61,4419.86,486.18,0,0,0,0,0.0,0,0
4.0,Z POS,278,2025-11-04,Z emis la POS nr.1 inchiderea 275,4766.59,0,0,31.4,6.6,4259.09,468.5,0,0,0,0,1.0,0,0
5.0,Z POS,279,2025-11-05,Z emis la POS nr.1 inchiderea 276,4933.25,0,0,67.36,14.14,4370.05,480.7,0,0,0,0,1.0,0,0
6.0,Z POS,280,2025-11-06,Z emis la POS nr.1 inchiderea 277,4860.85,0,0,24.38,5.12,4352.12,478.73,0,0,0,0,0.5,0,0
7.0,Z POS,281,2025-11-07,Z emis la POS nr.1 inchiderea 278,5500.19,0,0,16.12,3.38,4937.11,543.08,0,0,0,0,0.5,0,0
8.0,Z POS,282,2025-11-08,Z emis la POS nr.1 inchiderea 279,7001.97,0,0,39.67,8.33,6264.84,689.13,0,0,0,0,0.0,0,0
9.0,Z POS,283,2025-11-09,Z emis la POS nr.1 inchiderea 280,4920.98,0,0,40.08,8.42,4389.62,482.86,0,0,0,0,0.0,0,0
10.0,Z POS,284,2025-11-10,Z emis la POS nr.1 inchiderea 281,4416.27,0,0,13.22,2.78,3964.21,436.06,0,0,0,0,0.0,0,0
11.0,Z POS,285,2025-11-11,Z emis la POS nr.1 inchiderea 282,4639.4,0,0,28.1,5.9,4149.01,456.39,0,0,0,0,0.0,0,0
12.0,Z POS,286,2025-11-12,Z emis la POS nr.1 inchiderea 283,5277.13,0,0,21.07,4.43,4730.75,520.38,0,0,0,0,0.5,0,0
13.0,Z POS,287,2025-11-13,Z emis la POS nr.1 inchiderea 284,5857.11,0,0,47.52,9.98,5224.87,574.74,0,0,0,0,0.0,0,0
14.0,Z POS,288,2025-11-14,Z emis la POS nr.1 inchiderea 285,5842.22,0,0,89.26,18.74,5165.06,568.16,0,0,0,0,1.0,0,0
15.0,Z POS,289,2025-11-15,Z emis la POS nr.1 inchiderea 286,6331.81,0,0,19.83,4.17,5682.71,625.1,0,0,0,0,0.0,0,0
16.0,Z POS,290,2025-11-16,Z emis la POS nr.1 inchiderea 287,4706.35,0,0,21.07,4.43,4216.98,463.87,0,0,0,0,0.0,0,0
17.0,Z POS,291,2025-11-17,Z emis la POS nr.1 inchiderea 288,5249.18,0,0,6.2,1.3,4722.23,519.45,0,0,0,0,0.0,0,0
18.0,Z POS,292,2025-11-18,Z emis la POS nr.1 inchiderea 289,4403.33,0,0,12.81,2.69,3953.0,434.83,0,0,0,0,0.0,0,0
19.0,Z POS,293,2025-11-19,Z emis la POS nr.1 inchiderea 290,5595.75,0,0,28.1,5.9,5010.14,551.11,0,0,0,0,0.5,0,0
20.0,Z POS,294,2025-11-20,Z emis la POS nr.1 inchiderea 291,4861.86,0,0,43.8,9.2,4331.41,476.45,0,0,0,0,1.0,0,0
21.0,Z POS,295,2025-11-21,Z emis la POS nr.1 inchiderea 292,4093.81,0,0,18.6,3.9,3667.85,403.46,0,0,0,0,0.0,0,0
22.0,Z POS,296,2025-11-22,Z emis la POS nr.1 inchiderea 293,5079.99,0,0,12.4,2.6,4563.05,501.94,0,0,0,0,0.0,0,0
23.0,Z POS,297,2025-11-23,Z emis la POS nr.1 inchiderea 294,4015.1,0,0,2.48,0.52,3614.5,397.6,0,0,0,0,0.0,0,0
24.0,Z POS,298,2025-11-24,Z emis la POS nr.1 inchiderea 295,3737.38,0,0,91.74,19.26,3267.01,359.37,0,0,0,0,0.0,0,0
25.0,Z POS,299,2025-11-25,Z emis la POS nr.1 inchiderea 296,4162.94,0,0,1.65,0.35,3748.59,412.35,0,0,0,0,0.0,0,0
26.0,Z POS,300,2025-11-26,Z emis la POS nr.1 inchiderea 297,4865.96,0,0,16.94,3.56,4365.28,480.18,0,0,0,0,0.0,0,0
27.0,Z POS,301,2025-11-27,Z emis la POS nr.1 inchiderea 298,5008.98,0,0,24.79,5.21,4484.67,493.31,0,0,0,0,1.0,0,0
28.0,Z POS,302,2025-11-28,Z emis la POS nr.1 inchiderea 299,4880.66,0,0,27.69,5.81,4366.36,480.3,0,0,0,0,0.5,0,0
29.0,Z POS,303,2025-11-29,Z emis la POS nr.1 inchiderea 300,4266.8,0,0,8.68,1.82,3834.5,421.8,0,0,0,0,0.0,0,0
30.0,Z POS,304,2025-11-30,Z emis la POS nr.1 inchiderea 301,3430.95,0,0,17.36,3.64,3071.58,337.87,0,0,0,0,0.5,0,0
