Nr. Crt,Documentul,Unnamed: 2,Unnamed: 3,Explicatii,Vanzari (Incasari),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,Denumire,Nr. Doc(Z),Data,,Total Valoare,Scutit cu drept de reducere,Scutit fara drept de reducere,Taxabile,,0.21,Taxabile,,0.11,Nefolosit,,Nefolosit,,Netaxabil,,,0.0
,,,,,,,,Baza Impozitare,,Val. TVA,Baza Impozitare,Val. TVA,,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,Baza Impozitare,Val. TVA,,
1,Z POS,64,2025-11-03 00:00:00,Z emis la POS nr.1 inchiderea 63,2936.02,0,0,65.29,13.71,,2568.49,282.53,,0,0,0,0,6,0,,
2,Z POS,65,2025-11-04 00:00:00,Z emis la POS nr.1 inchiderea 64,2315.42,0,0,40.91,8.59,,2037.32,224.1,,0,0,0,0,4.5,0,,
3,Z POS,66,2025-11-05 00:00:00,Z emis la POS nr.1 inchiderea 65,2882.54,0,0,43.39,9.11,,2546.88,280.16,,0,0,0,0,3,0,,
4,Z POS,67,2025-11-06 00:00:00,Z emis la POS nr.1 inchiderea 66,2554.26,0,0,30.99,6.51,,2265.1,249.16,,0,0,0,0,2.5,0,,
5,Z POS,68,2025-11-07 00:00:00,Z emis la POS nr.1 inchiderea 67,2734.66,0,0,64.46,13.54,,2387.98,262.68,,0,0,0,0,6,0,,
6,Z POS,69,2025-11-10 00:00:00,Z emis la POS nr.1 inchiderea 68,2923.72,0,0,35.95,7.55,,2591.64,285.08,,0,0,0,0,3.5,0,,
7,Z POS,70,2025-11-11 00:00:00,Z emis la POS nr.1 inchiderea 69,3576.3,0,0,92.15,19.35,,3115.14,342.66,,0,0,0,0,7,0,,
8,Z POS,71,2025-11-12 00:00:00,Z emis la POS nr.1 inchiderea 70,3078.13,0,0,42.15,8.85,,2723.54,299.59,,0,0,0,0,4,0,,
9,Z POS,72,2025-11-13 00:00:00,Z emis la POS nr.1 inchiderea 71,4000.41,0,0,71.9,15.1,,3519.74,387.17,,0,0,0,0,6.5,0,,
10,Z POS,73,2025-11-14 00:00:00,Z emis la POS nr.1 inchiderea 72,3637.48,0,0,35.95,7.55,,3235.12,355.86,,0,0,0,0,3,0,,
11,Z POS,74,2025-11-17 00:00:00,Z emis la POS nr.1 inchiderea 73,2441.29,0,0,21.07,4.43,,2174.14,239.15,,0,0,0,0,2.5,0,,
12,Z POS,75,2025-11-18 00:00:00,Z emis la POS nr.1 inchiderea 74,2793.19,0,0,39.67,8.33,,2470.44,271.75,,0,0,0,0,3,0,,
13,Z POS,76,2025-11-19 00:00:00,Z emis la POS nr.1 inchiderea 75,3109.53,0,0,45.87,9.63,,2746.87,302.16,,0,0,0,0,5,0,,
14,Z POS,77,2025-11-20 00:00:00,Z emis la POS nr.1 inchiderea 76,2560.91,0,0,52.07,10.93,,2246.77,247.14,,0,0,0,0,4,0,,
15,Z POS,78,2025-11-21 00:00:00,Z emis la POS nr.1 inchiderea 77,3508.53,0,0,28.51,5.99,,3127.5,344.03,,0,0,0,0,2.5,0,,
16,Z POS,79,2025-11-24 00:00:00,Z emis la POS nr.1 inchiderea 78,2085.41,0,0,29.34,6.16,,1845.41,203,,0,0,0,0,1.5,0,,
17,Z POS,80,2025-11-25 00:00:00,Z emis la POS nr.1 inchiderea 79,2884.51,0,0,28.93,6.07,,2564.87,282.14,,0,0,0,0,2.5,0,,
18,Z POS,81,2025-11-26 00:00:00,Z emis la POS nr.1 inchiderea 80,3200.1,0,0,71.9,15.1,,2799.19,307.91,,0,0,0,0,6,0,,
19,Z POS,82,2025-11-27 00:00:00,Z emis la POS nr.1 inchiderea 81,3179.24,0,0,28.93,6.07,,2829.5,311.24,,0,0,0,0,3.5,0,,
20,Z POS,83,2025-11-28 00:00:00,Z emis la POS nr.1 inchiderea 82,3429.27,0,0,25.21,5.29,,3059.25,336.52,,0,0,0,0,3,0,,
"TOTAL GENERAL :            59,830.92           0                    0              894.64             187.86     52,854.89    5,814.03                     0                 0                  0                0               79.5                0",,,,,,,,,,,,,,,,,,,,,
Intocmit ..................................................................................................................................                                                                                                                                                  Verificat ...................................................................................................................................,,,,,,,,,,,,,,,,,,,,,
